nmbr	Cow_w	Calf_w
1	483	50
2	487	48
3	481	60
4	462	42
5	538	56
6	480	50
7	478	48
8	507	56
9	533	35
10	577	55
11	510	52
12	486	58
13	520	55
14	450	47
15	470	49
16	460	52
17	468	54
18	498	62
19	469	51
20	420	47
21	534	85
22	550	60
23	500	51
24	545	63
25	491	54
26	444	53
27	532	57
28	520	62
29	496	54
30	552	60
31	450	52
32	498	57
33	502	58
34	496	56
35	477	56
36	553	59
37	495	53
38	493	54
39	522	57
40	548	57
41	592	61
42	525	58
43	501	55
44	535	58
45	465	55
46	485	54
47	475	55
48	483	57
49	513	57
50	484	56
51	435	54
52	549	60
53	565	62
54	515	60
55	560	61
56	506	59
57	459	57
58	547	61
59	535	61
60	511	61
61	567	63
62	465	57
63	528	60
64	605	64
65	530	62
66	553	65
67	543	64
68	523	60
69	516	60
70	573	31
71	610	65
72	458	57
73	573	63
74	558	63
75	485	59
76	619	66
77	594	65
78	590	67
79	566	65
80	609	66
81	615	67
82	627	65
83	465	58
84	513	63
85	517	61
86	511	62
87	492	62
88	568	65
89	510	62
90	508	63
91	537	63
92	563	66
93	607	70
94	540	64
95	516	64
96	550	67
97	480	61
98	500	63
99	490	64
100	498	62
101	528	66
102	499	65
103	450	60
104	564	69
105	580	91
106	530	62
107	575	67
108	521	64
109	474	59
110	562	66
111	550	67
112	526	63
113	582	39
114	480	63
115	543	65
116	620	71
117	545	68
118	568	67
119	558	68
120	538	68
121	531	65
122	588	104
123	625	74
124	473	62
125	588	71
126	573	71
127	500	65
128	634	75
129	609	74
130	605	72
131	581	72
132	624	76
133	630	74
134	642	76
