Price	Food	Decor	Service
43	22	18	20
32	20	19	19
34	21	13	18
41	20	20	17
54	24	19	21
52	22	22	21
34	22	16	21
34	20	18	21
39	22	19	22
44	21	17	19
45	19	17	20
47	21	19	21
52	21	19	20
35	19	17	19
47	20	18	21
37	21	19	21
45	22	18	23
57	24	21	22
38	19	17	18
51	22	20	22
54	23	20	23
51	23	17	21
38	20	18	18
49	22	21	21
45	22	20	22
37	19	17	19
50	22	19	22
43	20	16	18
49	22	19	20
65	21	20	20
34	20	16	18
51	21	20	18
49	20	19	19
51	23	22	23
62	25	22	23
50	23	21	21
51	21	18	20
52	22	19	22
57	24	20	23
49	21	20	21
33	19	17	18
43	19	17	17
41	21	17	18
58	24	21	23
56	22	17	21
44	22	17	21
37	20	15	20
56	21	17	20
58	24	18	21
44	16	16	16
46	20	18	20
40	20	20	20
39	19	18	17
36	17	14	17
34	18	15	16
54	18	16	15
51	23	17	20
41	20	14	19
40	22	17	20
24	18	13	18
53	24	20	21
31	19	16	17
35	18	16	17
49	20	19	19
38	19	15	17
48	21	16	18
43	20	19	20
29	17	14	15
37	17	18	15
55	22	21	20
37	22	18	20
55	23	20	22
49	24	20	22
33	19	14	18
52	23	20	22
47	22	16	21
43	21	16	20
33	18	17	18
38	18	16	19
48	21	18	19
50	21	18	21
46	23	19	21
38	23	19	24
33	20	16	19
46	23	19	23
37	19	15	19
50	23	18	20
54	25	24	24
41	21	19	21
37	21	15	18
50	22	18	21
60	24	22	23
36	23	16	22
54	23	19	21
39	19	18	18
35	20	16	18
30	19	13	20
41	19	17	19
30	19	14	17
25	18	15	15
43	19	18	21
45	20	15	17
57	23	16	20
32	18	15	17
51	24	21	21
48	23	20	21
36	18	16	16
37	20	17	19
31	20	19	19
47	23	19	21
40	19	16	19
37	18	16	18
43	23	20	21
51	23	22	21
19	18	9	15
28	17	14	17
22	21	6	14
41	19	17	19
33	19	15	18
29	19	15	17
33	19	17	18
45	19	16	18
38	17	16	17
52	20	23	20
38	20	17	19
47	18	18	17
46	22	18	20
40	20	17	18
32	20	15	19
65	19	23	18
47	19	21	17
65	23	22	22
45	20	17	21
46	22	22	20
44	20	19	20
40	19	19	18
46	19	18	20
32	19	15	17
23	20	14	16
42	18	21	17
29	21	18	19
49	21	18	20
53	22	24	21
45	22	19	21
63	22	25	22
52	23	23	21
40	19	20	17
45	22	21	23
38	21	17	20
38	18	17	18
42	21	16	20
57	23	19	23
39	21	19	20
43	20	18	18
29	17	14	16
42	20	16	19
50	22	19	21
34	18	16	17
31	16	15	16
31	20	17	19
46	21	19	22
42	21	15	19
31	19	16	18
31	17	15	16
26	20	16	17
31	18	16	17
38	22	17	21
34	24	10	16
