Rumination Parity NDF CP Disease
548 1 30.3 18 0
525 1 29.3 18.1 0
348 1 30.3 18 0
301 1 30 19 1
443 1 30 19 1
508 1 30 19 0
355 1 30 19 0
512 1 30.6 17.7 0
400 1 29.6 17.9 1
322 1 29.7 18.8 0
587 1 30.3 18 0
673 1 30 19 0
612 1 30.6 17.7 0
463 1 30.3 18.5 0
316 1 29.6 17.9 0
500 1 30.2 18.9 0
341 1 30.3 18 0
532 1 30.2 18.9 0
451 1 30 19 1
580 1 30 19 0
509 1 30 19 0
317 1 29.6 17.9 0
508 1 29.6 17.9 0
338 1 29.6 17.9 1
413 1 30 19 1
380 1 29.6 17.9 0
485 1 30.3 18.5 0
545 1 30 19 0
488 1 30.2 18.9 0
544 1 29.6 17.9 1
501 1 29.3 18.1 0
533 1 30 19 0
482 1 30 19 0
414 1 30 19 1
523 1 30 19 0
613 1 30.6 17.7 0
381 1 29.6 17.9 1
415 1 29.6 17.9 0
643 1 30.2 18.9 0
588 1 29.7 18.8 0
618 1 29.3 18.1 0
455 1 30.3 18 0
578 1 29.6 17.9 0
295 1 29.7 18.8 0
437 1 29.3 18.1 0
386 1 30.3 18 0
549 1 30.2 18.9 0
465 1 29.6 17.9 1
497 1 29.3 18.1 0
526 1 29.3 18.1 0
110 1 30.3 18.5 1
551 1 29.3 18.1 0
450 1 29.6 17.9 0
194 1 29.6 17.9 1
381 1 29.6 17.9 1
565 1 30.3 18 0
394 1 30.3 18.5 0
606 1 30.6 17.7 0
323 1 30 19 0
668 1 30 19 0
487 1 30.2 18.9 0
295 1 30 19 1
216 1 29.6 17.9 0
428 1 29.3 19.5 0
570 1 30 19 0
494 1 29.6 17.9 0
547 1 30.3 18 0
378 1 30 19 0
461 1 30 19 1
452 1 29.6 17.9 1
499 1 30 19 0
677 1 30 19 0
545 1 30.3 18 0
518 1 30 19 0
214 1 29.6 17.9 1
417 1 29.6 17.9 1
505 1 30 19 1
244 1 30 19 1
488 1 30 19 0
535 1 30.2 18.9 1
449 1 30 19 1
555 1 29.7 18.8 0
460 1 30 19 1
380 1 29.6 17.9 0
574 1 30 19 0
237 1 29.6 17.9 1
373 1 29.6 17.9 0
299 1 30 19 1
639 1 30 19 0
523 1 29.7 18.8 1
421 1 30 19 0
519 1 29.6 17.9 0
438 1 30 19 1
541 1 30 19 0
314 1 29.6 17.9 1
619 1 30 19 0
380 1 30 19 1
610 1 30 19 0
535 1 30.3 18.5 1
493 1 29.6 17.9 0
500 1 29.6 17.9 1
472 1 30 19 0
547 1 29.6 17.9 0
528 1 30 19 0
477 1 30 19 0
560 1 30.3 18 0
236 1 29.6 17.9 1
556 1 29.3 18.1 0
483 1 30 19 0
564 1 29.7 18.8 0
293 1 30 19 1
533 1 30.3 18.5 0
589 1 30.3 18.5 0
587 1 30 19 0
508 1 30.3 18.5 0
310 1 30 19 0
621 1 30.3 18.5 0
464 1 30.3 18 0
478 1 30 19 0
465 1 29.6 17.9 1
388 1 29.6 17.9 0
476 1 29.6 17.9 0
600 1 30 19 0
415 1 30 19 0
496 1 30 19 1
408 1 30.6 17.7 0
390 1 29.6 17.9 0
490 1 30.3 18 1
399 1 30.3 18.5 1
521 1 29.6 19.8 0
787 1 30.3 18 0
235 1 29.3 19.5 0
519 1 30 19 1
541 1 29.3 18.1 0
468 1 30 19 0
496 1 29.6 17.9 0
555 1 30 19 0
535 1 30.3 18.5 1
446 1 29.6 17.9 0
346 1 30.2 18.9 0
606 1 30.6 17.7 0
415 1 30.6 17.7 0
247 1 30.2 18.9 0
689 1 30.3 18.5 0
450 1 30.6 17.7 1
551 1 29.3 18.1 0
515 1 29.3 19.5 0
411 1 30.2 18.9 0
354 1 30.3 18.5 0
394 1 29.6 19.8 1
549 1 30.3 18.5 0
317 1 29.3 18.1 0
124 1 30.2 18.9 0
461 1 29.3 18.1 0
449 1 30.3 18.5 0
545 0 29.6 19.8 0
352 0 29.6 17.9 0
379 0 29.6 17.9 0
289 0 29.6 17.9 0
578 0 29.6 17.9 0
490 0 29.6 17.9 1
450 0 29.6 17.9 1
401 0 29.6 17.9 0
544 0 30 19 0
565 0 29.6 17.9 0
490 0 29.6 17.9 0
218 0 30 19 0
320 0 29.6 17.9 1
326 0 29.6 17.9 0
413 0 29.6 17.9 0
406 0 30 19 0
432 0 29.6 17.9 0
355 0 29.3 18.1 0
444 0 29.6 17.9 0
317 0 30 19 0
400 0 30 19 0
249 0 29.6 17.9 0
237 0 29.6 17.9 0
494 0 29.6 17.9 0
396 0 29.6 17.9 0
