Farm Parity Holstein THI NDF SCC
SweetMilk 1 100 66.26 35 60661
Caramel 1 75 77.12 35 262045
SweetMilk 1 50 67.11 33 3635
HappyCows 1 50 75.7 33 17516
Caramel 1 100 72.04 34 16683
Caramel 1 50 77.27 36 107294
HappyCows 0 25 76.67 37 50620
Caramel 1 100 70.01 36 57273
HappyCows 0 25 73.25 30 86782
Caramel 1 50 73.66 38 23396
SweetMilk 1 50 72.24 36 29567
Caramel 0 50 74.44 34 44080
HappyCows 0 25 74.55 29 47172
SweetMilk 1 50 74.45 37 49640
Caramel 1 50 74.73 33 53610
Caramel 0 50 77.09 37 26129
Caramel 0 50 72.17 33 11989
SweetMilk 1 50 66.05 35 20911
Caramel 1 50 75.23 36 28658
HappyCows 1 50 72.95 36 19683
SweetMilk 1 50 75.83 36 79316
Caramel 1 75 75.82 42 120927
SweetMilk 0 25 72.53 35 24814
HappyCows 1 50 73.37 41 27224
HappyCows 1 100 71.19 36 33471
HappyCows 1 50 78.2 40 33782
Caramel 1 50 73.63 39 20322
SweetMilk 1 25 74.74 38 37751
SweetMilk 1 50 73.29 38 60073
Caramel 1 50 70.31 40 94571
SweetMilk 0 25 73.18 35 15668
SweetMilk 1 25 75.43 35 112443
SweetMilk 0 0 73.89 36 51770
Caramel 0 25 75.96 32 37735
SweetMilk 1 100 74.61 37 38455
SweetMilk 1 25 74.15 36 50249
Caramel 1 50 74.45 38 59151
HappyCows 1 100 70.47 32 18345
HappyCows 0 25 77.32 36 8734
HappyCows 0 25 71.57 28 56873
SweetMilk 1 75 73.75 35 45752
Caramel 1 50 70.92 34 14499
Caramel 1 50 72.01 31 31371
HappyCows 1 50 74.24 34 38275
SweetMilk 1 100 71.5 38 46377
SweetMilk 1 75 70.59 35 16630
HappyCows 0 50 77.67 36 10504
SweetMilk 1 75 68.06 32 13262
Caramel 1 100 71.21 35 65174
HappyCows 1 50 73.83 34 15187
HappyCows 1 100 74.18 42 132327
SweetMilk 1 100 74.59 39 119444
Caramel 1 75 73.27 39 73819
HappyCows 1 50 68.43 33 13865
SweetMilk 1 50 71.79 38 26301
HappyCows 1 25 74.24 35 22340
Caramel 1 100 73.73 35 43951
SweetMilk 1 100 71.72 37 129234
HappyCows 1 75 75.98 38 57092
SweetMilk 0 25 73.33 32 45904
HappyCows 0 50 74.35 36 54477
Caramel 1 100 71.99 37 43820
Caramel 1 75 70.94 38 217748
SweetMilk 1 75 67.04 36 5402
HappyCows 0 50 70.74 31 10528
HappyCows 1 25 76.54 37 54862
SweetMilk 1 100 72.04 39 30656
HappyCows 0 25 75.8 32 39356
Caramel 0 25 72.39 36 15840
SweetMilk 0 0 65.91 32 2240
HappyCows 1 50 75.4 35 38188
Caramel 0 25 71.23 35 13031
HappyCows 1 50 74.03 41 103594
SweetMilk 1 25 73.3 36 57216
SweetMilk 1 50 76.16 39 82196
Caramel 0 25 70.67 37 25804
HappyCows 1 100 72.24 40 36918
SweetMilk 1 25 69.32 33 7583
HappyCows 0 25 73.87 40 57824
SweetMilk 1 25 71.03 35 24724
SweetMilk 0 25 71.19 33 5265
HappyCows 1 50 75.3 34 16927
HappyCows 0 25 80.03 35 27361
HappyCows 0 50 73.36 34 55014
SweetMilk 1 25 73.29 37 20612
Caramel 1 75 73.24 31 43173
HappyCows 1 50 75.11 35 56058
HappyCows 1 50 74.55 33 19594
Caramel 1 100 72.42 39 54513
HappyCows 1 100 78.71 42 300555
SweetMilk 1 75 69.97 33 7331
HappyCows 1 50 77.75 33 100398
Caramel 1 100 73.08 37 37004
HappyCows 0 25 76.64 34 27673
HappyCows 0 50 74.33 35 29296
SweetMilk 1 50 68.88 36 9149
SweetMilk 0 25 67.78 33 2692
SweetMilk 1 50 70.58 37 15964
Caramel 1 100 74.12 36 53530
Caramel 0 25 79.15 41 58953
SweetMilk 0 0 70.71 34 2426
Caramel 1 100 77.61 39 70421
HappyCows 0 0 76.42 41 18085
SweetMilk 1 50 73.52 35 117801
HappyCows 0 50 71.36 35 30068
Caramel 1 100 75.89 37 58189
HappyCows 0 25 76.12 33 91406
HappyCows 0 25 76.75 34 37214
HappyCows 1 100 73.46 35 26899
Caramel 0 25 76.29 37 25918
HappyCows 1 100 73.28 35 42589
SweetMilk 1 50 74.39 34 18494
HappyCows 0 25 72.16 33 12110
SweetMilk 1 75 71.08 34 18721
SweetMilk 1 50 66.85 33 3025
Caramel 1 75 75.33 36 83483
HappyCows 1 100 74.05 38 176523
Caramel 1 100 72.94 36 20188
HappyCows 0 25 70.92 31 5777
HappyCows 1 25 70.07 33 26123
SweetMilk 0 50 67.44 32 11315
HappyCows 1 100 75.98 36 18513
Caramel 0 0 75.14 33 41390
Caramel 1 25 74.54 39 22467
SweetMilk 0 0 74.92 34 7490
SweetMilk 1 100 70.7 34 18838
SweetMilk 0 25 72.12 36 4444
HappyCows 0 0 71.16 36 5285
Caramel 1 100 74.47 38 78489
Caramel 1 100 71.03 41 56693
HappyCows 0 0 73.35 34 8272
Caramel 1 50 73.38 38 42890
HappyCows 1 75 72.32 40 25135
HappyCows 0 25 74.38 37 26532
HappyCows 1 100 73.22 39 89312
SweetMilk 1 50 72.67 36 37869
Caramel 0 50 71.89 32 11376
